pool_id,project,project_name,chain,symbol,tvl_usd,current_apy,apy_base,apy_reward,stablecoin
c82ab892-d820-4bb6-b9f0-5f8f044ed0fa,curve-dex,Curve,Ethereum,PWRD-3CRV,1439920,0,0,0,False
ed940168-f355-4ccc-8f3f-4a49761df0da,curve-dex,Curve,Ethereum,REUSD-SUSDE,1421643,5.43,5.43,0,True
a287995e-2249-43d7-bdb0-0ce030930a51,aave-v3,Aave V3,Arbitrum,TBTC,1401773,0,0,,False
29d4eefc-ad49-4ce4-bad1-0e185a0ba31b,curve-dex,Curve,Ethereum,BBTC-SBTCCRV,1381242,0.02,0.02,0,False
effcb4a4-4dcb-45e5-935d-f15542c13e6b,aave-v3,Aave V3,Ethereum,USDC,1374128,3.37281,3.37281,,True
fd285112-116d-4061-a807-485e77dcbacf,aave-v3,Aave V3,Ethereum,EUSDE,1368154,0,0,,True
959edefe-f71e-474c-b035-4477d3a27cee,pendle,Pendle,Ethereum,USDE,1367831,1.14398,0.53441,0.60956,True
babfb1c9-a438-4ed6-80b2-51bef40a0a27,pendle,Pendle,Ethereum,USDE,1367831,4.12201,4.12201,,True
1e0f6284-9f20-44c3-8236-67624a568397,pendle,Pendle,Ethereum,PUFETH,1355210,2.28018,2.17719,0.10299,True
12b04db2-d875-49b9-acbb-399b83ce6384,pendle,Pendle,Ethereum,PUFETH,1355210,4.55438,4.55438,,True
a9212f2f-bb21-4bf4-b5fb-99b23e22a4d8,compound-v3,Compound V3,Ethereum,UNI,1338212,0,,,False
7e218bc2-186c-473d-af0c-415bcdfe392b,curve-dex,Curve,Ethereum,IDAI-IUSDC-IUSDT,1326227,143.74,143.74,0,True
6749a277-1e65-4dd2-97fb-4ed8bbc71853,pendle,Pendle,Ethereum,USDF,1318157,2.26376,1.73017,0.53359,True
8d2a1154-094c-449e-bc5a-0e6bc418066c,pendle,Pendle,Ethereum,USDF,1318157,7.72558,7.72558,,True
a13f0697-d7f1-482b-90c3-21f90725a836,curve-dex,Curve,Ethereum,USDE-USDC,1315088,0.08,0.08,0,True
25e631a3-bdba-43a8-81ff-46000465212f,curve-dex,Curve,Ethereum,PUMPBTC-WBTC,1314981,0,0,0,False
77871537-d13b-475f-ab01-453778ad1521,euler-v2,Euler V2,Ethereum,TETH,1304901,0,0,,False
ac7361fa-edf4-4aa8-86ed-657be5320c65,compound-v3,Compound V3,Ethereum,LINK,1278487,0,,,False
c2c7de64-230c-4c1c-8745-2d207fcfb45c,pendle,Pendle,Ethereum,YSUSDC,1278380,6.17188,6.02429,0.14759,True
