date,pool_id,symbol,project,chain,tvl_usd,daily_fees,jlp_fees,apy,apy_base,apy_reward
2024-04-04,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,383282396,519197,389397.75,37.0824,37.0824,0
2024-04-05,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,375097412,906392,679794.0,66.1494,66.1494,0
2024-04-06,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,370796438,225065,168798.75,16.616,16.616,0
2024-04-07,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,370679774,272535,204401.25,20.1269,20.1269,0
2024-04-08,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,372000057,413809,310356.75,30.4517,30.4517,0
2024-04-09,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,375153063,565950,424462.5,41.2975,41.2975,0
2024-04-10,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,361880149,1178218,883663.5,89.1282,89.1282,0
2024-04-11,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,357375120,311766,233824.5,23.8813,23.8813,0
2024-04-12,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,352628146,2116889,1587666.75,164.337,164.337,0
2024-04-13,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,333087284,2405623,1804217.25,197.7077,197.7077,0
2024-04-14,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,301362291,713981,535485.75,64.8563,64.8563,0
2024-04-15,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,285863716,677459,508094.25,64.8751,64.8751,0
2024-04-16,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,277494746,673766,505324.5,66.4674,66.4674,0
2024-04-17,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,274606179,898526,673894.5,89.5725,89.5725,0
2024-04-18,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,272991242,617620,463215.0,61.9337,61.9337,0
2024-04-19,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,285376553,1072857,804642.75,102.9148,102.9148,0
2024-04-20,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,287846148,602712,452034.0,57.3197,57.3197,0
2024-04-21,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,292182618,540271,405203.25,50.6187,50.6187,0
2024-04-22,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,293205627,729980,547485.0,68.1542,68.1542,0
2024-04-23,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,305900746,752119,564089.25,67.307,67.307,0
2024-04-24,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,313935439,1173538,880153.5,102.3319,102.3319,0
2024-04-25,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,309212026,646374,484780.5,57.2245,57.2245,0
2024-04-26,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,311322129,620910,465682.5,54.5975,54.5975,0
2024-04-27,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,308539536,450102,337576.5,39.9351,39.9351,0
2024-04-28,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,308977349,402185,301638.75,35.6331,35.6331,0
2024-04-29,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,312011419,581571,436178.25,51.0254,51.0254,0
2024-04-30,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,308911028,1522698,1142023.5,134.9381,134.9381,0
2024-05-01,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,299158754,1453403,1090052.25,132.996,132.996,0
2024-05-02,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,302539528,528585,396438.75,47.8285,47.8285,0
2024-05-03,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,301790863,621265,465948.75,56.354,56.354,0
2024-05-04,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,310457796,507583,380687.25,44.7568,44.7568,0
2024-05-05,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,312516798,574992,431244.0,50.3666,50.3666,0
2024-05-06,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,312912193,727066,545299.5,63.6071,63.6071,0
2024-05-07,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,323573703,695423,521567.25,58.8342,58.8342,0
2024-05-08,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,326925115,991041,743280.75,82.9846,82.9846,0
2024-05-09,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,323815434,565981,424485.75,47.8474,47.8474,0
2024-05-10,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,336833661,603955,452966.25,49.0844,49.0844,0
2024-05-11,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,335446192,245499,184124.25,20.0346,20.0346,0
2024-05-12,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,337991755,199892,149919.0,16.1899,16.1899,0
2024-05-13,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,338688525,601651,451238.25,48.6293,48.6293,0
2024-05-14,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,340153147,336986,252739.5,27.1201,27.1201,0
2024-05-15,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,333572661,748336,561252.0,61.413,61.413,0
2024-05-16,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,345368670,761174,570880.5,60.333,60.333,0
2024-05-17,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,344219667,668989,501741.75,53.2032,53.2032,0
2024-05-18,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,356405403,1000056,750042.0,76.8129,76.8129,0
2024-05-19,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,357461510,531965,398973.75,40.7388,40.7388,0
2024-05-20,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,357468632,953725,715293.75,73.0364,73.0364,0
2024-05-21,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,374457501,1123658,842743.5,82.1459,82.1459,0
2024-05-22,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,377883313,992389,744291.75,71.8916,71.8916,0
2024-05-23,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,385813607,948467,711350.25,67.2975,67.2975,0
2024-05-24,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,392419507,810752,608064.0,56.5577,56.5577,0
2024-05-25,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,389484945,277782,208336.5,19.5239,19.5239,0
2024-05-26,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,391629161,496039,372029.25,34.6733,34.6733,0
2024-05-27,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,394050655,491045,368283.75,34.1133,34.1133,0
2024-05-28,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,403904144,576307,432230.25,39.0598,39.0598,0
2024-05-29,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,410331223,384804,288603.0,25.672,25.672,0
2024-05-30,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,408692084,435468,326601.0,29.1685,29.1685,0
2024-05-31,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,409156334,410623,307967.25,27.4731,27.4731,0
2024-06-01,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,410721159,177476,133107.0,11.829,11.829,0
2024-06-02,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,411553640,422546,316909.5,28.1062,28.1062,0
2024-06-03,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,408137142,434331,325748.25,29.1319,29.1319,0
2024-06-04,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,411333852,546988,410241.0,36.403,36.403,0
2024-06-05,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,420180307,601313,450984.75,39.1759,39.1759,0
2024-06-06,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,418622034,625543,469157.25,40.9062,40.9062,0
2024-06-07,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,409957552,1829678,1372258.5,122.1771,122.1771,0
2024-06-08,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,398099244,458519,343889.25,31.5297,31.5297,0
2024-06-09,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,393216353,284171,213128.25,19.7835,19.7835,0
2024-06-10,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,397744270,456306,342229.5,31.4055,31.4055,0
2024-06-11,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,394362676,1661040,1245780.0,115.3024,115.3024,0
2024-06-12,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,386516400,776088,582066.0,54.9664,54.9664,0
2024-06-13,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,391289313,516682,387511.5,36.1476,36.1476,0
2024-06-14,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,383138884,1017061,762795.75,72.6683,72.6683,0
2024-06-15,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,386322770,297832,223374.0,21.1045,21.1045,0
2024-06-16,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,389758874,361482,271111.5,25.389,25.389,0
2024-06-17,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,396077860,895711,671783.25,61.9072,61.9072,0
2024-06-18,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,392347758,1279213,959409.75,89.2536,89.2536,0
2024-06-19,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,395503548,390386,292789.5,27.0208,27.0208,0
2024-06-20,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,399381835,498417,373812.75,34.1632,34.1632,0
2024-06-21,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,400972739,918184,688638.0,62.6858,62.6858,0
2024-06-22,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,403588931,205120,153840.0,13.9131,13.9131,0
2024-06-23,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,404899250,379466,284599.5,25.6555,25.6555,0
2024-06-24,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,401024991,1182447,886835.25,80.7169,80.7169,0
2024-06-25,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,402003081,524223,393167.25,35.6977,35.6977,0
2024-06-26,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,414404188,447332,335499.0,29.5502,29.5502,0
2024-06-27,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,419685980,558719,419039.25,36.4438,36.4438,0
2024-06-28,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,438030589,528937,396702.75,33.0563,33.0563,0
2024-06-29,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,426349116,181875,136406.25,11.6778,11.6778,0
2024-06-30,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,428895784,330095,247571.25,21.0689,21.0689,0
2024-07-01,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,434176998,408802,306601.5,25.7751,25.7751,0
2024-07-02,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,437286468,559973,419979.75,35.0554,35.0554,0
2024-07-03,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,450603603,912766,684574.5,55.4522,55.4522,0
2024-07-04,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,444206230,1487696,1115772.0,91.6819,91.6819,0
2024-07-05,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,440993789,1361787,1021340.25,84.5339,84.5339,0
2024-07-06,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,447195435,421209,315906.75,25.7842,25.7842,0
2024-07-07,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,461841118,495812,371859.0,29.3886,29.3886,0
2024-07-08,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,443777152,1013668,760251.0,62.5295,62.5295,0
2024-07-09,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,445332145,394800,296100.0,24.2687,24.2687,0
2024-07-10,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,450251428,405208,303906.0,24.6364,24.6364,0
2024-07-11,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,456299012,514987,386240.25,30.8959,30.8959,0
2024-07-12,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,453858518,465313,348984.75,28.0659,28.0659,0
2024-07-13,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,464127847,224141,168105.75,13.2202,13.2202,0
2024-07-14,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,471193198,502589,376941.75,29.199,29.199,0
2024-07-15,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,483947674,872702,654526.5,49.3653,49.3653,0
2024-07-16,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,500744012,733271,549953.25,40.0869,40.0869,0
2024-07-17,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,508087171,661227,495920.25,35.626,35.626,0
2024-07-18,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,507905168,483407,362555.25,26.0546,26.0546,0
2024-07-19,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,513354154,1338696,1004022.0,71.387,71.387,0
2024-07-20,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,524315201,402869,302151.75,21.0342,21.0342,0
2024-07-21,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,535354175,968336,726252.0,49.5153,49.5153,0
2024-07-22,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,547553467,696504,522378.0,34.8218,34.8218,0
2024-07-23,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,546153691,811551,608663.25,40.6776,40.6776,0
2024-07-24,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,540982763,766740,575055.0,38.7988,38.7988,0
2024-07-25,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,546838677,2137175,1602881.25,106.988,106.988,0
2024-07-26,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,542470025,626415,469811.25,31.6112,31.6112,0
2024-07-27,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,560221655,1088030,816022.5,53.1661,53.1661,0
2024-07-28,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,571264734,485935,364451.25,23.286,23.286,0
2024-07-29,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,577923551,1422774,1067080.5,67.3938,67.3938,0
2024-07-30,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,591228073,1478140,1108605.0,68.4407,68.4407,0
2024-07-31,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,601236395,1486819,1115114.25,67.6966,67.6966,0
2024-08-01,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,604901651,2432423,1824317.25,110.08,110.08,0
2024-08-02,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,606275180,985766,739324.5,44.5101,44.5101,0
2024-08-03,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,593686638,740740,555555.0,34.1557,34.1557,0
2024-08-04,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,589381316,875222,656416.5,40.6514,40.6514,0
2024-08-05,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,589109131,2965288,2223966.0,137.7924,137.7924,0
2024-08-06,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,573441668,1151132,863349.0,54.9528,54.9528,0
2024-08-07,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,610320863,1156302,867226.5,51.8641,51.8641,0
2024-08-08,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,616282395,1019106,764329.5,45.2683,45.2683,0
2024-08-09,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,655287991,626370,469777.5,26.1669,26.1669,0
2024-08-10,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,669851343,277516,208137.0,11.3413,11.3413,0
2024-08-11,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,678485062,580246,435184.5,23.4113,23.4113,0
