date,symbol,ticker,open,high,low,close,volume
2023-05-22,SOL,SOL-USD,19.61,19.98,19.38,19.54,216922971
2023-05-23,SOL,SOL-USD,19.54,20.15,19.45,20.04,258761187
2023-05-24,SOL,SOL-USD,20.04,20.06,18.91,19.22,297840141
2023-05-25,SOL,SOL-USD,19.22,19.53,18.89,19.26,194537149
2023-05-26,SOL,SOL-USD,19.26,19.54,19.12,19.37,140228468
2023-05-27,SOL,SOL-USD,19.37,20.5,19.35,20.43,179682882
2023-05-28,SOL,SOL-USD,20.43,21.15,20.34,20.8,291460886
2023-05-29,SOL,SOL-USD,20.8,20.97,20.3,20.59,228295637
2023-05-30,SOL,SOL-USD,20.59,21.38,20.52,21.25,367512387
2023-05-31,SOL,SOL-USD,21.26,21.32,20.47,20.82,246152341
2023-06-01,SOL,SOL-USD,20.82,20.97,20.46,20.5,209047110
2023-06-02,SOL,SOL-USD,20.5,21.36,20.38,21.26,237609887
2023-06-03,SOL,SOL-USD,21.26,21.34,21.02,21.16,144933830
2023-06-04,SOL,SOL-USD,21.16,22.28,21.06,21.82,317802167
2023-06-05,SOL,SOL-USD,21.82,22.04,19.42,20.08,594214946
2023-06-06,SOL,SOL-USD,20.06,20.68,19.32,20.4,441408235
2023-06-07,SOL,SOL-USD,20.4,20.49,18.55,18.63,390444801
2023-06-08,SOL,SOL-USD,18.64,19.08,18.29,18.91,258460307
2023-06-09,SOL,SOL-USD,18.91,19.3,17.16,17.38,463344687
2023-06-10,SOL,SOL-USD,17.38,17.39,13.38,15.66,1230339924
2023-06-11,SOL,SOL-USD,15.65,16.12,15.2,15.56,446176848
2023-06-12,SOL,SOL-USD,15.56,15.61,14.82,15.2,384209938
2023-06-13,SOL,SOL-USD,15.2,15.87,14.82,15.02,363876713
2023-06-14,SOL,SOL-USD,15.02,15.31,14.2,14.49,296502336
2023-06-15,SOL,SOL-USD,14.49,15.01,14.21,14.76,329864409
2023-06-16,SOL,SOL-USD,14.76,15.4,14.47,15.31,232544705
2023-06-17,SOL,SOL-USD,15.31,16.07,15.19,15.65,206436912
2023-06-18,SOL,SOL-USD,15.65,15.81,15.36,15.44,141612316
2023-06-19,SOL,SOL-USD,15.44,16.08,15.41,16.07,163949883
2023-06-20,SOL,SOL-USD,16.08,16.67,15.76,16.64,265787114
2023-06-21,SOL,SOL-USD,16.64,17.38,16.58,17.26,357788986
2023-06-22,SOL,SOL-USD,17.26,17.7,16.61,16.64,299233520
2023-06-23,SOL,SOL-USD,16.64,17.51,16.24,17.15,386994632
2023-06-24,SOL,SOL-USD,17.15,17.52,16.46,16.65,260480952
2023-06-25,SOL,SOL-USD,16.65,17.34,16.61,16.97,252839095
2023-06-26,SOL,SOL-USD,16.97,17.1,16.02,16.27,275948459
2023-06-27,SOL,SOL-USD,16.27,16.91,16.18,16.62,259041273
2023-06-28,SOL,SOL-USD,16.62,16.63,15.75,15.99,327399744
2023-06-29,SOL,SOL-USD,15.99,18.2,15.91,17.97,737633196
